complexity,loss,equation,score,sympy_format,lambda_format,run,equation_index,equation_string
1,7074189.0,714.22614,0.0,714.226140000000,PySRFunction(X=>714.226140000000),22,0,714.226140000000
3,7073837.0,715.6053 - x2,2.487979595690182e-05,715.6053 - x2,PySRFunction(X=>715.6053 - x2),22,1,715.6053 - x2
4,7062019.0,square(x1 + 26.7508),0.0016720604331825297,715.60530064*(0.0373820596019558*x1 + 1)**2,PySRFunction(X=>715.60530064*(0.0373820596019558*x1 + 1)**2),22,2,715.60530064*(0.0373820596019558*x1 + 1)**2
5,6724359.0,35.459885 / (0.74299234 - x0),0.048994382998621334,35.459885/(0.74299234 - x0),PySRFunction(X=>35.459885/(0.74299234 - x0)),22,3,35.459885/(0.74299234 - x0)
6,6142086.5,square(2.6706376 / (0.7581185 - x0)),0.09057209967998561,7.13230519053376/(0.7581185 - x0)**2,PySRFunction(X=>7.13230519053376/(0.7581185 - x0)**2),22,4,7.13230519053376/(0.7581185 - x0)**2
7,5205038.0,square(3.3200116 / (x0 - cos(x1))),0.1655375025672171,11.0224770241346/(x0 - cos(x1))**2,PySRFunction(X=>11.0224770241346/(x0 - cos(x1))**2),22,5,11.0224770241346/(x0 - cos(x1))**2
9,3927912.8,square((x1 + 3.1144416) / (cos(x1) - x0)),0.14075940602978798,9.69974647981056*(0.321084845514522*x1 + 1)**2/(-x0 + cos(x1))**2,PySRFunction(X=>9.69974647981056*(0.321084845514522*x1 + 1)**2/(-x0 + cos(x1))**2),22,6,9.69974647981056*(0.321084845514522*x1 + 1)**2/(-x0 + cos(x1))**2
10,2758978.2,square(exp(x0 + 0.9442516) / (x1 - cos(x0))),0.35324779686275964,6.60946822135375*exp(2*x0)/(x1 - cos(x0))**2,PySRFunction(X=>6.60946822135375*exp(2*x0)/(x1 - cos(x0))**2),22,7,6.60946822135375*exp(2*x0)/(x1 - cos(x0))**2
11,1745165.0,(-21.620699 / (x1 + -0.8024262)) * (-1.5907345 / (x0 - 0.74299234)),0.45801128673218594,-21.6206990000000*(-1.5907345)/((x1 - 0.8024262)*(x0 - 1*0.74299234)),PySRFunction(X=>-21.6206990000000*(-1.5907345)/((x1 - 0.8024262)*(x0 - 1*0.74299234))),22,8,-21.6206990000000*(-1.5907345)/((x1 - 0.8024262)*(x0 - 1*0.74299234))
12,1674700.8,square(exp(1.1360499 + x1) / (x0 - cos(x1))) * x0,0.0412145846025117,x0*(9.6997469738596*exp(2*x1)/(x0 - cos(x1))**2),PySRFunction(X=>x0*(9.6997469738596*exp(2*x1)/(x0 - cos(x1))**2)),22,9,x0*(9.6997469738596*exp(2*x1)/(x0 - cos(x1))**2)
13,1207886.0,(35.459885 / (x1 + ((x0 * -0.42212206) + -0.4805285))) / (x0 - 0.74299234),0.3267627982571933,35.459885/((x0 - 1*0.74299234)*(x0*(-0.42212206) + x1 - 0.4805285)),PySRFunction(X=>35.459885/((x0 - 1*0.74299234)*(x0*(-0.42212206) + x1 - 0.4805285))),22,10,35.459885/((x0 - 1*0.74299234)*(x0*(-0.42212206) + x1 - 0.4805285))
15,1204163.2,((35.459885 / ((x1 + (x0 * -0.42212206)) + -0.4805285)) - 2.1688635) / (x0 - 0.74299234),0.0015434191624614552,(-1*2.1688635 + 35.459885/(x0*(-0.42212206) + x1 - 0.4805285))/(x0 - 1*0.74299234),PySRFunction(X=>(-1*2.1688635 + 35.459885/(x0*(-0.42212206) + x1 - 0.4805285))/(x0 - 1*0.74299234)),22,11,(-1*2.1688635 + 35.459885/(x0*(-0.42212206) + x1 - 0.4805285))/(x0 - 1*0.74299234)
16,1177687.9,((35.459885 / ((x1 + (x0 * -0.42212206)) + sin(-0.4805285))) / (x0 - 0.74299234)) * x0,0.022231776324372895,35.459885*x0/((x0 - 1*0.74299234)*(x0*(-0.42212206) + x1 + sin(-0.4805285))),PySRFunction(X=>35.459885*x0/((x0 - 1*0.74299234)*(x0*(-0.42212206) + x1 + sin(-0.4805285)))),22,12,35.459885*x0/((x0 - 1*0.74299234)*(x0*(-0.42212206) + x1 + sin(-0.4805285)))
17,1169908.4,(((-1.5784901 / ((x0 * -0.42212206) + (x1 + -0.47997743))) / (x0 - 0.74299234)) + -4.587418) * -22.22776,0.006627654402685104,-4.587418 - 1.5784901/((x0 - 1*0.74299234)*(x0*(-0.42212206) + x1 - 0.47997743))*(-22.22776),PySRFunction(X=>-4.587418 - 1.5784901/((x0 - 1*0.74299234)*(x0*(-0.42212206) + x1 - 0.47997743))*(-22.22776)),22,13,-4.587418 - 1.5784901/((x0 - 1*0.74299234)*(x0*(-0.42212206) + x1 - 0.47997743))*(-22.22776)
19,1110989.4,((35.459885 / (x1 + ((x0 * -0.42212206) + -0.4805285))) / (x0 - (0.74299234 - (x0 - x1)))) - x0,0.025837242744311453,-x0 + 35.459885/((x0 - (0.74299234 - (x0 - x1)))*(x0*(-0.42212206) + x1 - 0.4805285)),PySRFunction(X=>-x0 + 35.459885/((x0 - (0.74299234 - (x0 - x1)))*(x0*(-0.42212206) + x1 - 0.4805285))),22,14,-x0 + 35.459885/((x0 - (0.74299234 - (x0 - x1)))*(x0*(-0.42212206) + x1 - 0.4805285))
21,1110626.1,(((35.459885 / ((x1 + (x0 * -0.42212206)) + -0.4805285)) / (x0 - (0.74299234 - (x0 - x1)))) - x0) + 0.74323684,0.00016352964913967806,-x0 + 0.74323684 + 35.459885/((x0 - (0.74299234 - (x0 - x1)))*(x0*(-0.42212206) + x1 - 0.4805285)),PySRFunction(X=>-x0 + 0.74323684 + 35.459885/((x0 - (0.74299234 - (x0 - x1)))*(x0*(-0.42212206) + x1 - 0.4805285))),22,15,-x0 + 0.74323684 + 35.459885/((x0 - (0.74299234 - (x0 - x1)))*(x0*(-0.42212206) + x1 - 0.4805285))
23,1034287.7,((-1.6535813 / (x0 - 0.74299234)) * (-21.620699 * square(cos(-1.4528116 * (x0 - x1))))) / (x1 + ((-0.42212206 * x1) + -0.4805285)),0.03560546656481574,-1.65358130000000*(-21.620699)*cos(-1.4528116*(x0 - x1))**2/((x0 - 1*0.74299234)*(-0.42212206*x1 + x1 - 0.4805285)),PySRFunction(X=>-1.65358130000000*(-21.620699)*cos(-1.4528116*(x0 - x1))**2/((x0 - 1*0.74299234)*(-0.42212206*x1 + x1 - 0.4805285))),22,16,-1.65358130000000*(-21.620699)*cos(-1.4528116*(x0 - x1))**2/((x0 - 1*0.74299234)*(-0.42212206*x1 + x1 - 0.4805285))
25,994005.94,(((-1.6535813 / (x0 - 0.74299234)) - x2) * (-21.620699 * square(cos(1.5398805 * (x0 - x1))))) / ((x1 * -0.42212206) + (x1 + -0.4805285)),0.019862536859129552,-x2 - 1.6535813/(x0 - 1*0.74299234)*(-21.620699)*cos(1.5398805*(x0 - x1))**2/(x1*(-0.42212206) + x1 - 0.4805285),PySRFunction(X=>-x2 - 1.6535813/(x0 - 1*0.74299234)*(-21.620699)*cos(1.5398805*(x0 - x1))**2/(x1*(-0.42212206) + x1 - 0.4805285)),22,17,-x2 - 1.6535813/(x0 - 1*0.74299234)*(-21.620699)*cos(1.5398805*(x0 - x1))**2/(x1*(-0.42212206) + x1 - 0.4805285)
27,982228.25,(square(cos(-1.4528116 * (x1 - x0))) * (((-1.6535813 / (x0 - 0.74299234)) - (-0.67978305 + x2)) * -21.620699)) / ((x1 * -0.42212206) + (x1 + -0.4805285)),0.0059597336696910865,cos(-1.4528116*(-x0 + x1))**2*(-(x2 - 0.67978305) - 1.6535813/(x0 - 1*0.74299234))*(-21.620699)/(x1*(-0.42212206) + x1 - 0.4805285),PySRFunction(X=>cos(-1.4528116*(-x0 + x1))**2*(-(x2 - 0.67978305) - 1.6535813/(x0 - 1*0.74299234))*(-21.620699)/(x1*(-0.42212206) + x1 - 0.4805285)),22,18,cos(-1.4528116*(-x0 + x1))**2*(-(x2 - 0.67978305) - 1.6535813/(x0 - 1*0.74299234))*(-21.620699)/(x1*(-0.42212206) + x1 - 0.4805285)
32,955309.9,(cos(sin((x0 - x1) * 1.4709368) * 1.7825356) * (-21.620699 / (x1 + (((cos(x1 - 0.1104422) / -1.6396506) * 0.64445645) + -0.4805285)))) * ((-2.2285082 / (x0 - 0.7418988)) + 3.6964796),0.005557584939104573,cos(sin((x0 - x1)*1.4709368)*1.7825356)*(-21.620699)*(3.6964796 - 2.2285082/(x0 - 1*0.7418988))/(x1 + cos(x1 - 1*0.1104422)*0.64445645/(-1.6396506) - 0.4805285),PySRFunction(X=>cos(sin((x0 - x1)*1.4709368)*1.7825356)*(-21.620699)*(3.6964796 - 2.2285082/(x0 - 1*0.7418988))/(x1 + cos(x1 - 1*0.1104422)*0.64445645/(-1.6396506) - 0.4805285)),22,19,cos(sin((x0 - x1)*1.4709368)*1.7825356)*(-21.620699)*(3.6964796 - 2.2285082/(x0 - 1*0.7418988))/(x1 + cos(x1 - 1*0.1104422)*0.64445645/(-1.6396506) - 0.4805285)
34,949510.2,(cos(sin((x0 - x1) * 1.4709368) * 1.7825356) * (-21.620699 / (x1 + (((cos(x1 - 0.1104422) / -1.6396506) * 0.64445645) + -0.4805285)))) * (((-2.2285082 / (x0 - 0.7418988)) + 3.6964796) - x1),0.0030447588841267443,cos(sin((x0 - x1)*1.4709368)*1.7825356)*(-21.620699)*(-x1 + 3.6964796 - 2.2285082/(x0 - 1*0.7418988))/(x1 + cos(x1 - 1*0.1104422)*0.64445645/(-1.6396506) - 0.4805285),PySRFunction(X=>cos(sin((x0 - x1)*1.4709368)*1.7825356)*(-21.620699)*(-x1 + 3.6964796 - 2.2285082/(x0 - 1*0.7418988))/(x1 + cos(x1 - 1*0.1104422)*0.64445645/(-1.6396506) - 0.4805285)),22,20,cos(sin((x0 - x1)*1.4709368)*1.7825356)*(-21.620699)*(-x1 + 3.6964796 - 2.2285082/(x0 - 1*0.7418988))/(x1 + cos(x1 - 1*0.1104422)*0.64445645/(-1.6396506) - 0.4805285)
35,842751.3,(cos(sin((x0 - x1) * -1.5896152) * -1.6020449) * -21.620699) * ((exp((x0 - 1.9365876) * x1) + (-2.2285082 / (x0 - 0.7418988))) / ((x1 + -0.4805285) + (cos(0.103227235 - x1) * -0.39304498))),0.11927437600873986,cos(sin((x0 - x1)*(-1.5896152))*(-1.6020449))*(-21.620699)*(exp(x1*(x0 - 1*1.9365876)) - 2.2285082/(x0 - 1*0.7418988))/(x1 + cos(0.103227235 - x1)*(-0.39304498) - 0.4805285),PySRFunction(X=>cos(sin((x0 - x1)*(-1.5896152))*(-1.6020449))*(-21.620699)*(exp(x1*(x0 - 1*1.9365876)) - 2.2285082/(x0 - 1*0.7418988))/(x1 + cos(0.103227235 - x1)*(-0.39304498) - 0.4805285)),22,21,cos(sin((x0 - x1)*(-1.5896152))*(-1.6020449))*(-21.620699)*(exp(x1*(x0 - 1*1.9365876)) - 2.2285082/(x0 - 1*0.7418988))/(x1 + cos(0.103227235 - x1)*(-0.39304498) - 0.4805285)
37,826738.9,((cos(sin((x0 - x1) * -1.5841346) * -1.6020449) * -21.620699) / ((x1 + -0.4805285) + (cos(0.1104422 - x1) * -0.39304498))) * ((-2.2285082 / (x0 - 0.7418988)) + (exp((1.1167718 - x1) * 1.9365876) + x1)),0.009591485488050005,cos(sin((x0 - x1)*(-1.5841346))*(-1.6020449))*(-21.620699)*(x1 + exp(1.1167718 - x1*1.9365876) - 2.2285082/(x0 - 1*0.7418988))/(x1 + cos(0.1104422 - x1)*(-0.39304498) - 0.4805285),PySRFunction(X=>cos(sin((x0 - x1)*(-1.5841346))*(-1.6020449))*(-21.620699)*(x1 + exp(1.1167718 - x1*1.9365876) - 2.2285082/(x0 - 1*0.7418988))/(x1 + cos(0.1104422 - x1)*(-0.39304498) - 0.4805285)),22,22,cos(sin((x0 - x1)*(-1.5841346))*(-1.6020449))*(-21.620699)*(x1 + exp(1.1167718 - x1*1.9365876) - 2.2285082/(x0 - 1*0.7418988))/(x1 + cos(0.1104422 - x1)*(-0.39304498) - 0.4805285)
39,755294.4,((-2.2285082 / (x0 - 0.7418988)) + exp(1.1167718 - (x1 + (x0 + x1)))) * (cos(sin((x1 - x0) * 1.4709368) * 1.7825356) * (-21.620699 / ((x1 + -0.4805285) + ((cos(x1 - 0.1104422) / -1.6396506) * 0.64445645)))),0.04519065934320454,(exp(1.1167718 - (x0 + x1 + x1)) - 2.2285082/(x0 - 1*0.7418988))*cos(sin(-x0 + x1*1.4709368)*1.7825356)*(-21.620699)/(x1 + cos(x1 - 1*0.1104422)*0.64445645/(-1.6396506) - 0.4805285),PySRFunction(X=>(exp(1.1167718 - (x0 + x1 + x1)) - 2.2285082/(x0 - 1*0.7418988))*cos(sin(-x0 + x1*1.4709368)*1.7825356)*(-21.620699)/(x1 + cos(x1 - 1*0.1104422)*0.64445645/(-1.6396506) - 0.4805285)),22,23,(exp(1.1167718 - (x0 + x1 + x1)) - 2.2285082/(x0 - 1*0.7418988))*cos(sin(-x0 + x1*1.4709368)*1.7825356)*(-21.620699)/(x1 + cos(x1 - 1*0.1104422)*0.64445645/(-1.6396506) - 0.4805285)
41,749170.7,(cos(sin((x0 - x1) * 1.4709368) * 1.7825356) * (-21.620699 / (x1 + (((cos(x1 - 0.1104422) / -1.6396506) * 0.64445645) + -0.4805285)))) * (((-2.2285082 / (x0 - 0.7418988)) + 1.4709368) + exp(1.0039654 - ((x1 + x1) + x0))),0.004070372798267826,cos(sin((x0 - x1)*1.4709368)*1.7825356)*(-21.620699)*(exp(1.0039654 - (x0 + x1 + x1)) + 1.4709368 - 2.2285082/(x0 - 1*0.7418988))/(x1 + cos(x1 - 1*0.1104422)*0.64445645/(-1.6396506) - 0.4805285),PySRFunction(X=>cos(sin((x0 - x1)*1.4709368)*1.7825356)*(-21.620699)*(exp(1.0039654 - (x0 + x1 + x1)) + 1.4709368 - 2.2285082/(x0 - 1*0.7418988))/(x1 + cos(x1 - 1*0.1104422)*0.64445645/(-1.6396506) - 0.4805285)),22,24,cos(sin((x0 - x1)*1.4709368)*1.7825356)*(-21.620699)*(exp(1.0039654 - (x0 + x1 + x1)) + 1.4709368 - 2.2285082/(x0 - 1*0.7418988))/(x1 + cos(x1 - 1*0.1104422)*0.64445645/(-1.6396506) - 0.4805285)
42,744868.7,((cos(sin((x1 - x0) * 1.4709368) * 1.7825356) * -21.620699) / ((x1 + -0.4805285) + ((cos(x1 - 0.1104422) / -1.6396506) * 0.64445645))) * ((-2.2285082 / (x0 - 0.7418988)) + (cos(x2) + exp(1.1167718 - (x1 + (x1 + x0))))),0.005758900186462706,cos(sin(-x0 + x1*1.4709368)*1.7825356)*(-21.620699)*(exp(1.1167718 - (x0 + x1 + x1)) + cos(x2) - 2.2285082/(x0 - 1*0.7418988))/(x1 + cos(x1 - 1*0.1104422)*0.64445645/(-1.6396506) - 0.4805285),PySRFunction(X=>cos(sin(-x0 + x1*1.4709368)*1.7825356)*(-21.620699)*(exp(1.1167718 - (x0 + x1 + x1)) + cos(x2) - 2.2285082/(x0 - 1*0.7418988))/(x1 + cos(x1 - 1*0.1104422)*0.64445645/(-1.6396506) - 0.4805285)),22,25,cos(sin(-x0 + x1*1.4709368)*1.7825356)*(-21.620699)*(exp(1.1167718 - (x0 + x1 + x1)) + cos(x2) - 2.2285082/(x0 - 1*0.7418988))/(x1 + cos(x1 - 1*0.1104422)*0.64445645/(-1.6396506) - 0.4805285)
